Lista de precios Comercializadora de valor agregado S.A. de C.V. (26/09/2013 15:30:00),,,,
Clave,Marca,Descripcion,Precio,Stock
AC-2295,MANHATTAN,PUERTO RAPIDO PARA CLONAR DISCOS DUROS SATA MANHATTAN,57.18,0
AC-2301,TRENDNET,CONVERTIDOR TRENDNET FIBRA 1000BASE-T A MEDIOS 1000BASE-SX/LX,53.43,3
AC-2302,TRENDNET,MODULO TRENDNET MINI-GBIC SX MULTIMODO,47.95,3
AC-2303,TRENDNET,MODULO TRENDNET MINI-GBIC LC MONOMODO (10KM DE DISTANCIA),54.8,3
AC-2314,MANHATTAN,CUBIERTA RIGIDA MANHATTAN PARA IPAD 2 COLOR NEGRA,12.56,3
AC-2324,APC,"KVM CONSOLA APC PARA MONTAJE EN RACK 1 UNIDAD, 44MM- 17.40KG, COMPATIBLE WINDOWS, SUN, UNIX Y LINUX",1253.98,2
AC-2329,COOLER MASTER,BASE ENFRIADORA COOLER MASTER NOTEPAL X-SLIM,11.79,1
AC-2332,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO NITGEN HAMSTER II,170.52,0
AC-2335,HP,KIT DE INSTALACION DE FUENTE HOT-PLUG PARA ML110G7,1401.55,0
AC-2336,HP,FILTRO DE PRIVACIDAD HP PARA NOTEBOOK DE 15.6 W FILTER PANTALLA OSCURA Y EN BLANCO,769.93,1
AC-2337,HP,CANDADO HP CON CABLE DE BLOQUEO PARA LAPTOP,431.92,1
AC-2339,TRIPP-LITE,ORGANIZADOR DE CABLES HORIZONAL DE 2U TRIPP-LITE 19 PULGADAS PARA GABINETE SMARTRACK O RACK ABIERTO.,446.42,1
AC-2341,APC,GABINETE RACK APC NETSHELTER CX 18 UNIDADES 7550MM X 1130MM,3414.07,2
AC-2353,MANHATTAN,FUNDA MANHATTAN PARA IPAD Y IPAD2 CON TECLADO BLUETOOTH,43.47,3
AC-2354,MANHATTAN,FUNDA DE PIEL MANHATTAN PARA IPAD Y IPAD2 COLOR NEGRO,33.81,3
AC-2355,MANHATTAN,FUNDA TIPO CABALLETE MANHATTAN PARA IPAD Y IPAD2 COLOR NEGRO,18.35,3
AC-2362,ENCORE,"ENCORE BLACKBOX PARA ANDROID 2.2, DISPOSITIVO DE NAVEGACION EN INTERNET DIRECTAMENTE EN LA TV",80.09,1
AC-2365,ACTECK,BASE ENFRIADORA ACTECK PARA NOTEBOOK 1017 CON USB 2 PUERTOS VENTILADOR ,150.82,0
AC-2368,MANHATTAN,"CARGADOR USB MANHATTAN PARA AUTOMOVIL, NEGRO",5.11,3
AC-2372,MANHATTAN,"PORTA DD MANHATTAN 2.5"" SATA/ USB 2.0 AZUL",9.56,3
AC-2377,MANHATTAN,"SKIN MANHATTAN PARA NOTEBOOK 17"" AUTOS DEPORTIVOS",3.38,3
AC-2380,MANHATTAN,HUB USB MANHATTAN V2.0 NEGRO 13 PUERTOS,37.48,3
AC-2381,INTELLINET,"CHAROLA FIJA PARA RACK 2 POSTES 40CM, 16KG 2U VENTILADA",25.5,3
AC-2396,SABRENT,PORTA DD SABRENT CON COOLING FAN,18.23,1
